code,multiplier,statVar,svobsUnit
TP_A_0010,1,wto/TP_A_0010,Percent
TP_A_0030,1,wto/TP_A_0030,Percent
TP_A_0040,1,wto/TP_A_0040,Percent
TP_A_0060,1,wto/TP_A_0060,Percent
TP_A_0070,1,wto/TP_A_0070,Percent
TP_A_0080,1,wto/TP_A_0080,Percent
TP_A_0100,1,wto/TP_A_0100,Percent
TP_A_0110,1,wto/TP_A_0110,Percent
TP_A_0130,1,wto/TP_A_0130,
TP_A_0140,1,wto/TP_A_0140,
TP_A_0150,1,wto/TP_A_0150,
TP_A_0160,1,wto/TP_A_0160,Percent
TP_A_0170,1,wto/TP_A_0170,Percent
TP_A_0180,1,wto/TP_A_0180,Percent
TP_A_0190,1,wto/TP_A_0190,Percent
TP_A_0200,1,wto/TP_A_0200,Percent
TP_A_0210,1,wto/TP_A_0210,Percent
TP_A_0220,1,wto/TP_A_0220,Percent
TP_A_0230,1,wto/TP_A_0230,Percent
TP_A_0240,1,wto/TP_A_0240,Percent
TP_A_0250,1,wto/TP_A_0250,Percent
TP_A_0260,1,wto/TP_A_0260,Percent
TP_A_0270,1,wto/TP_A_0270,Percent
TP_A_0280,1,wto/TP_A_0280,Percent
TP_A_0290,1,wto/TP_A_0290,Percent
TP_A_0300,1,wto/TP_A_0300,Percent
TP_A_0310,1,wto/TP_A_0310,Percent
TP_A_0320,1,wto/TP_A_0320,Percent
TP_A_0330,1,wto/TP_A_0330,Percent
TP_A_0340,1,wto/TP_A_0340,Percent
TP_A_0350,1,wto/TP_A_0350,Percent
TP_A_0360,1,wto/TP_A_0360,Percent
TP_A_0370,1,wto/TP_A_0370,Percent
TP_A_0380,1,wto/TP_A_0380,Percent
TP_A_0400,1,wto/TP_A_0400,
TP_A_0410,1,wto/TP_A_0410,
TP_A_0420,1,wto/TP_A_0420,
TP_A_0430,1,wto/TP_A_0430,Percent
TP_A_0440,1,wto/TP_A_0440,Percent
TP_A_0450,1,wto/TP_A_0450,Percent
TP_A_0460,1,wto/TP_A_0460,Percent
TP_A_0470,1,wto/TP_A_0470,Percent
TP_A_0480,1,wto/TP_A_0480,Percent
TP_A_0490,1,wto/TP_A_0490,Percent
TP_A_0500,1,wto/TP_A_0500,Percent
TP_A_0510,1,wto/TP_A_0510,Percent
TP_A_0520,1,wto/TP_A_0520,Percent
TP_A_0530,1,wto/TP_A_0530,Percent
TP_A_0540,1,wto/TP_A_0540,Percent
TP_A_0550,1,wto/TP_A_0550,Percent
TP_A_0560,1,wto/TP_A_0560,Percent
TP_A_0570,1,wto/TP_A_0570,Percent
TP_A_0580,1,wto/TP_A_0580,Percent
TP_A_0590,1,wto/TP_A_0590,Percent
TP_A_0600,1,wto/TP_A_0600,Percent
TP_A_0610,1,wto/TP_A_0610,Percent
TP_A_0620,1,wto/TP_A_0620,Percent
TP_A_0630,1,wto/TP_A_0630,Percent
TP_A_0640,1,wto/TP_A_0640,Percent
TP_A_0650,1,wto/TP_A_0650,Percent
TP_A_0670,1,wto/TP_A_0670,
TP_A_0680,1,wto/TP_A_0680,
TP_A_0690,1,wto/TP_A_0690,
TP_A_0020,1,wto/TP_A_0020,Percent
TP_A_0050,1,wto/TP_A_0050,Percent
TP_A_0090,1,wto/TP_A_0090,Percent
TP_A_0120,1,wto/TP_A_0120,Percent
TP_A_0390,1,wto/TP_A_0390,Percent
HS_A_0010,1,wto/HS_A_0010,Percent
HS_A_0015,1,wto/HS_A_0015,Percent
HS_A_0020,1,wto/HS_A_0020,Percent
HS_A_0025,1,wto/HS_A_0025,Percent
HS_A_0030,1,wto/HS_A_0030,Percent
HS_A_0040,1,wto/HS_A_0040,
HS_A_0050,1,wto/HS_A_0050,
HS_P_0070,1,wto/HS_P_0070,Percent
HS_M_0020,1,wto/HS_M_0020,USDollar
HS_M_0010,1,wto/HS_M_0010,USDollar
TP_B_0020,1,wto/TP_B_0020,Percent
TP_B_0040,1,wto/TP_B_0040,Percent
TP_B_0050,1,wto/TP_B_0050,Percent
TP_B_0060,1,wto/TP_B_0060,Percent
TP_B_0070,1,wto/TP_B_0070,Percent
TP_B_0090,1,wto/TP_B_0090,Percent
TP_B_0110,1,wto/TP_B_0110,Percent
TP_B_0130,1,wto/TP_B_0130,Percent
TP_B_0140,1,wto/TP_B_0140,
TP_B_0150,1,wto/TP_B_0150,
TP_B_0180,1,wto/TP_B_0180,Percent
TP_B_0200,1,wto/TP_B_0200,Percent
TP_B_0210,1,wto/TP_B_0210,Percent
TP_B_0220,1,wto/TP_B_0220,Percent
TP_B_0230,1,wto/TP_B_0230,Percent
TP_B_0240,1,wto/TP_B_0240,Percent
TP_B_0250,1,wto/TP_B_0250,Percent
TP_B_0260,1,wto/TP_B_0260,Percent
TP_B_0270,1,wto/TP_B_0270,Percent
TP_B_0280,1,wto/TP_B_0280,Percent
TP_B_0290,1,wto/TP_B_0290,Percent
TP_B_0300,1,wto/TP_B_0300,Percent
TP_B_0310,1,wto/TP_B_0310,Percent
TP_B_0320,1,wto/TP_B_0320,Percent
TP_B_0330,1,wto/TP_B_0330,Percent
TP_B_0340,1,wto/TP_B_0340,Percent
TP_B_0350,1,wto/TP_B_0350,
TP_B_0360,1,wto/TP_B_0360,
TP_B_0380,1,wto/TP_B_0380,Percent
TP_B_0390,1,wto/TP_B_0390,Percent
TP_B_0400,1,wto/TP_B_0400,Percent
TP_B_0410,1,wto/TP_B_0410,Percent
TP_B_0420,1,wto/TP_B_0420,Percent
TP_B_0430,1,wto/TP_B_0430,Percent
TP_B_0440,1,wto/TP_B_0440,Percent
TP_B_0450,1,wto/TP_B_0450,Percent
TP_B_0460,1,wto/TP_B_0460,Percent
TP_B_0470,1,wto/TP_B_0470,Percent
TP_B_0480,1,wto/TP_B_0480,Percent
TP_B_0490,1,wto/TP_B_0490,Percent
TP_B_0500,1,wto/TP_B_0500,Percent
TP_B_0510,1,wto/TP_B_0510,Percent
TP_B_0520,1,wto/TP_B_0520,Percent
TP_B_0530,1,wto/TP_B_0530,
TP_B_0540,1,wto/TP_B_0540,
TP_B_0030,1,wto/TP_B_0030,Percent
TP_B_0080,1,wto/TP_B_0080,Percent
TP_B_0100,1,wto/TP_B_0100,Percent
TP_B_0120,1,wto/TP_B_0120,Percent
HS_B_0010,1,wto/HS_B_0010,Percent
HS_B_0020,1,wto/HS_B_0020,Percent
HS_B_0030,1,wto/HS_B_0030,Percent
HS_B_0050,1,wto/HS_B_0050,
HS_B_0060,1,wto/HS_B_0060,
HS_B_0070,1,wto/HS_B_0070,
HS_B_0080,1,wto/HS_B_0080,Percent
HS_B_0090,1,wto/HS_B_0090,
TP_E_0100,1,wto/TP_E_0100,
TP_E_0110,1,wto/TP_E_0110,Percent
TP_E_0120,1,wto/TP_E_0120,Percent
TP_E_0130,1,wto/TP_E_0130,Percent
TP_E_0140,1,wto/TP_E_0140,Percent
TP_E_0150,1000000,wto/TP_E_0150,USDollar
TP_E_0160,1,wto/TP_E_0160,Percent
TP_E_0170,1,wto/TP_E_0170,Percent
